unit,hlth_pb,age,sex,time\geo;EU27 ;BE ;BG ;CZ ;DK ;DE ;EE ;EL ;ES ;FR ;IT ;CY ;LV ;LT ;LU ;HU ;MT ;NL ;AT ;PL ;PT ;RO ;SI ;SK ;FI ;SE ;UK ;EEA ;IS ;NO 
THS,PB2030,Y_GE65,T,2012;34824.2 e;799.8 ;505.4 ;520.7 ;319.7 ;6813.6 ;122.2 ;744.1 ;3749.1 ;4224.2 ;3980.6 ;47.6 ;221.2 ;319.9 ;29.1 ;838.2 ;18.7 ;666.6 ;537.7 ;3223.4 ;779.3 ;1460.5 ;188.6 ;372.6 ;360.4 ;591.4 ;3389.9 ;35064.0 e;15.5 ;224.3 
THS,PB2210,Y15-44,F,2012;4479.6 e;160.2 ;30.8 ;46.9 u;72.5 ;1072.0 ;24.5 ;15.5 u;404.1 ;638.0 ;114.9 u;: u;17.4 ;27.4 ;3.7 u;49.0 ;1.3 u;275.2 ;80.1 ;208.9 ;81.1 ;24.4 u;7.2 u;74.9 ;60.3 ;173.2 ;813.3 ;4533.1 e;9.9 ;43.6 
THS,PB2210,Y15-44,M,2012;3376.6 e;117.1 ;28.0 ;36.2 u;66.0 ;867.5 ;13.5 ;8.3 u;280.7 ;397.5 ;95.4 u;: u;11.8 ;22.2 ;3.3 u;35.4 ;2.2 u;205.9 ;50.0 ;165.5 ;32.1 ;25.9 u;6.4 u;75.1 ;56.6 ;131.7 ;640.7 ;3415.5 e;6.5 ;32.5 
THS,PB2210,Y15-44,T,2012;7856.2 e;277.2 ;58.8 ;83.1 u;138.5 ;1939.5 ;38.1 ;23.8 u;684.8 ;1035.5 ;210.3 u;: u;29.2 ;49.6 ;7.0 u;84.4 ;3.5 u;481.1 ;130.0 ;374.4 ;113.2 ;50.4 u;13.6 u;150.0 ;116.9 ;304.9 ;1454.0 ;7948.6 e;16.3 ;76.1 
THS,PB2210,Y45-64,F,2012;3244.8 e;110.9 ;46.2 ;13.9 u;66.1 ;646.7 ;20.4 ;21.8 u;384.5 ;490.6 ;151.5 u;3.8 u;13.5 ;24.7 ;2.1 u;44.9 ;2.2 u;147.8 ;61.5 ;202.5 ;65.2 ;33.0 u;11.6 u;75.7 ;46.4 ;113.2 ;444.2 ;3277.8 e;5.8 ;27.2 
THS,PB2210,Y45-64,M,2012;2655.8 e;59.4 ;32.9 ;23.5 u;54.3 ;609.8 ;14.3 ;19.1 u;321.5 ;296.5 ;77.1 u;3.2 u;11.3 ;20.7 ;2.5 u;47.1 ;1.2 u;175.2 ;50.3 ;158.6 ;69.6 ;35.8 u;7.6 u;58.0 ;46.9 ;111.7 ;347.8 ;2691.3 e;3.4 ;32.1 
THS,PB2210,Y45-64,T,2012;5900.6 e;170.3 ;79.1 ;37.4 u;120.4 ;1256.5 ;34.7 ;40.9 u;706.0 ;787.0 ;228.6 u;7.0 u;24.8 ;45.4 ;4.5 u;92.0 ;3.4 u;323.0 ;111.8 ;361.1 ;134.8 ;68.8 u;19.2 u;133.7 ;93.4 ;224.9 ;792.0 ;5969.1 e;9.3 ;59.3 
THS,PB2210,Y_GE15,F,2012;10469.4 e;335.4 ;116.4 ;81.7 ;178.2 ;2423.2 ;55.9 ;65.9 ;1163.2 ;1443.6 ;401.4 ;8.9 ;44.1 ;82.0 ;7.3 ;137.2 ;4.9 ;537.0 ;190.7 ;577.7 ;199.9 ;88.4 ;28.9 ;178.7 ;129.4 ;400.9 ;1588.6 ;10583.9 e;18.4 ;96.1 
THS,PB2210,Y_GE15,M,2012;8175.7 e;240.0 ;85.9 ;78.4 ;160.5 ;2022.0 ;33.1 ;47.5 ;868.9 ;942.4 ;262.4 ;7.0 ;30.0 ;54.2 ;6.9 ;100.6 ;5.0 ;507.1 ;132.9 ;393.6 ;139.8 ;86.1 ;18.8 ;143.6 ;134.4 ;336.4 ;1338.4 ;8270.9 e;11.5 ;83.7 
THS,PB2210,Y_GE15,T,2012;18645.1 e;575.4 ;202.3 ;160.1 ;338.7 ;4445.2 ;89.0 ;113.3 ;2032.1 ;2385.9 ;663.8 ;15.9 ;74.1 ;136.3 ;14.2 ;237.7 ;9.9 ;1044.1 ;323.6 ;971.3 ;339.7 ;174.5 ;47.7 ;322.3 ;263.8 ;737.3 ;2927.0 ;18854.8 e;30.0 ;179.8 
